Ref,Qty,Function,Value,Tolerance,Rating,Package,Manufacturer,MPN,LCSC/JLC,Assembly,Authority
U1,1,MCU,ESP32-S3FH4R2,,,QFN56 7x7,Espressif,ESP32-S3FH4R2,C3013940,TOP SMT,Exact
Y1,1,40MHz crystal,7D040000I01,,,SMD2016-4P,HD,7D040000I01,C648973,TOP SMT,CL10pF +/-10ppm
"CXT1,CXT2",2,XTAL load,15pF C0G/NP0 +/-5%,,,0402,-,15pF C0G/NP0 +/-5%,TBD passive,TOP SMT,Locked
LXT1,1,XTAL series,24nH,,,0402,-,24nH,TBD passive,TOP SMT,XTAL_P
U2,1,LoRa,SX1268IMLTRT,,,QFN,Semtech,SX1268IMLTRT,,TOP SMT,E512
U3,1,RF switch,PE4259-63,,,SC-70-6,pSemi,PE4259-63,C470892,TOP SMT,E512
U4,1,IMU,BMI270,,,LGA14 2.5x3,Bosch Sensortec,BMI270,C2836813,TOP SMT,Standard/X-ray
U5,1,RTC,RV-3028-C7-32.768KHZ-1PPM-TA-QA,,,SMD3215-8P,Micro Crystal,RV-3028-C7-32.768KHZ-1PPM-TA-QA,C3304278,TOP SMT,Exact
U6,1,USB ESD,TPD2EUSB30DRTR,,,DRT,TI,TPD2EUSB30DRTR,,TOP SMT,Exact MPN
J1,1,USB-C,USB4105-GF-A,,,SMD right angle,GCT,USB4105-GF-A,C3020560,TOP SMT,No -060/-120
J2,1,FPC,FH34D-10S-0.5SH(50),,,10P 0.5mm,Hirose,FH34D-10S-0.5SH(50),,TOP SMT,Exact
J3,1,SMA,142-0701-841,,,Edge launch,Johnson/Semtech ref,142-0701-841,,TOP,Preserve E512
GNSS1,1,GNSS carrier,MAX-M10S-00B-01 carrier,,,13.1x15.7 / 5P2.54,u-blox carrier,MAX-M10S-00B-01 carrier,USER,DNP,DO NOT ASSEMBLE
"SW1,SW2",2,BOOT/RESET,B3U-1000P,,,SMD,Omron,B3U-1000P,,TOP SMT,Exact
RF_R3,1,RF,CRCW0402100RFKED,,,0402,Vishay,CRCW0402100RFKED,,TOP SMT,100R E512
RF_R4,1,RF,CRCW0402100RFKED,,,0402,Vishay,CRCW0402100RFKED,,TOP SMT,100R E512
"RF_C14,C15",2,RF,GRM155R72A102KA01D,,,0402,Murata,GRM155R72A102KA01D,,TOP SMT,1nF E512
RF_C1,1,RF,GRM155R71C473KA01D,,,0402,Murata,GRM155R71C473KA01D,,TOP SMT,47nF E512
RF_C2,1,RF,GCM1555C1H820JA16D,,,0402,Murata,GCM1555C1H820JA16D,,TOP SMT,82pF E512
RF_C3,1,RF,CRCW04020000Z0ED,,,0402,Vishay,CRCW04020000Z0ED,,TOP SMT,0R E512
RF_C4,1,RF,GJM1555C1H3R6CB01D,,,0402,Murata,GJM1555C1H3R6CB01D,,TOP SMT,3.6pF E512
RF_C5,1,RF,GJM1555C1H120JB01D,,,0402,Murata,GJM1555C1H120JB01D,,TOP SMT,12pF E512
RF_C6,1,RF,GCM1555C1H101JA16D,,,0402,Murata,GCM1555C1H101JA16D,,TOP SMT,100pF E512
RF_C7,1,RF,GJM1555C1H1R0BB01D,,,0402,Murata,GJM1555C1H1R0BB01D,,TOP SMT,1.0pF E512
RF_C8,1,RF,GCM1555C1H101JA16D,,,0402,Murata,GCM1555C1H101JA16D,,TOP SMT,100pF E512
RF_C11,1,RF,GJM1555C1H4R7CB01D,,,0402,Murata,GJM1555C1H4R7CB01D,,TOP SMT,4.7pF E512
RF_C12,1,RF,GJM1555C1H3R9CB01D,,,0402,Murata,GJM1555C1H3R9CB01D,,TOP SMT,3.9pF E512
RF_C16,1,RF,GRM155R61C105KA12D,,,0402,Murata,GRM155R61C105KA12D,,TOP SMT,1uF E512
RF_C17,1,RF,GRM155R71A474KE01D,,,0402,Murata,GRM155R71A474KE01D,,TOP SMT,470nF E512
RF_C18,1,RF,GRM155R71H104KE14D,,,0402,Murata,GRM155R71H104KE14D,,TOP SMT,100nF E512
RF_C47,1,RF,GJM1555C1H8R2CB01D,,,0402,Murata,GJM1555C1H8R2CB01D,,TOP SMT,8.2pF E512
RF_L1,1,RF,LQG15HS56NJ02D,,,0402,Murata,LQG15HS56NJ02D,,TOP SMT,56nH E512
RF_L3,1,RF,LQG15HS8N2J02D,,,0402,Murata,LQG15HS8N2J02D,,TOP SMT,8.2nH E512
RF_L4,1,RF,LQG15HN18NJ02D,,,0402,Murata,LQG15HN18NJ02D,,TOP SMT,18nH E512
RF_L5,1,RF,CRCW04020000Z0ED,,,0402,Vishay,CRCW04020000Z0ED,,TOP SMT,0R E512
RF_L6,1,RF,LQW15AN33NH00D,,,0402,Murata,LQW15AN33NH00D,,TOP SMT,33nH E512
RF_L7,1,RF DC-DC,MLZ2012M150W,,,0805,TDK,MLZ2012M150W,,TOP SMT,15uH E512
RF_Q1,1,Radio crystal,EXS00A-CS06465,,,NX2016SA,NDK,EXS00A-CS06465,,TOP SMT,32MHz +/-10ppm CL10pF
"RF_C9,C10",2,RF tuning,DNP,,,0402,-,DNP,,DNP,Preserve pads
"RF_C13,C25",2,RF XTAL tune,DNP,,,0402,-,DNP,,DNP,Preserve pads
R101,1,ESP32 EN pull-up,10 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0710KL,TBD,TOP SMT,Espressif CHIP_PU support; locked 10k pull-up
C101,1,ESP32 EN RC delay capacitor,1 uF,10%,10V X5R,0402 1005,Murata,GRM155R61A105KE15D,TBD,TOP SMT,Espressif CHIP_PU support; locked 1uF to GND
R102,1,ESP32 GPIO0 BOOT pull-up,10 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0710KL,TBD,TOP SMT,Espressif strapping; locked BOOT pull-up
R103,1,USB_D+ series resistor,22 Ohm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0722RL,TBD,TOP SMT,Espressif native USB guideline; symmetric series resistor
R104,1,USB_D- series resistor,22 Ohm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0722RL,TBD,TOP SMT,Espressif native USB guideline; symmetric series resistor
C102,1,USB_D+ optional shunt tuning pad,DNP / tuning placeholder,N/A,N/A,0402 1005,N/A,N/A / DNP,N/A,DNP,Espressif USB tuning placeholder only; not populated
C103,1,USB_D- optional shunt tuning pad,DNP / tuning placeholder,N/A,N/A,0402 1005,N/A,N/A / DNP,N/A,DNP,Espressif USB tuning placeholder only; not populated
R105,1,USB-C CC1 Rd UFP,5.1 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-075K1L,TBD,TOP SMT,USB Type-C UFP Rd requirement
R106,1,USB-C CC2 Rd UFP,5.1 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-075K1L,TBD,TOP SMT,USB Type-C UFP Rd requirement
R107,1,USB VBUS sense divider high,100 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-07100KL,TBD,TOP SMT,Locked USB_VBUS_SENSE 100k/100k divider; no USB power path
R108,1,USB VBUS sense divider low,100 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-07100KL,TBD,TOP SMT,Locked USB_VBUS_SENSE 100k/100k divider; no USB power path
R109,1,I2C_SDA pull-up to 3V3_AON,4.7 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-074K7L,TBD,TOP SMT,Locked GPIO contract; shared BMI270/RV3028 I2C
R110,1,I2C_SCL pull-up to 3V3_AON,4.7 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-074K7L,TBD,TOP SMT,Locked GPIO contract; shared BMI270/RV3028 I2C
L101,1,ESP32 analog/RF 3V3 supply isolation bead,Ferrite bead 120 Ohm @100MHz,-,500mA class,0402 1005,Murata,BLM15AG121SN1D,TBD,TOP SMT,Espressif ESP32-S3 power-filter guidance for analog/RF 3V3 feed
C104,1,ESP32 VDD3P3_RTC bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Espressif local decoupling
C105,1,ESP32 VDD3P3_CPU bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Espressif local decoupling
C106,1,ESP32 VDD_SPI high-frequency bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Espressif VDD_SPI decoupling
C107,1,ESP32 VDD_SPI bulk bypass,1 uF,10%,10V X5R,0402 1005,Murata,GRM155R61A105KE15D,TBD,TOP SMT,Espressif VDD_SPI decoupling
C108,1,ESP32 VDD3P3 main bulk near pins 2/3,10 uF,10%,10V X5R,0603 1608,Murata,GRM188R61A106KE69D,TBD,TOP SMT,Espressif 3V3 bulk decoupling; 0603 chosen for DC-bias margin
C109,1,ESP32 VDD3P3 secondary bulk/local,10 uF,10%,10V X5R,0603 1608,Murata,GRM188R61A106KE69D,TBD,TOP SMT,Espressif 3V3 bulk decoupling; 0603 chosen for DC-bias margin
C110,1,ESP32 filtered analog/RF 3V3 bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Espressif analog/RF 3V3 local bypass after L101
C111,1,Board 3V3_AON local bulk for digital section,10 uF,10%,10V X5R,0603 1608,Murata,GRM188R61A106KE69D,TBD,TOP SMT,Board-level local 3V3_AON bulk for ESP32/USB/sensor cluster
C112,1,BMI270 VDD bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Bosch BMI270 VDD decoupling
C113,1,BMI270 VDDIO bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Bosch BMI270 VDDIO decoupling
R111,1,BMI270 SDO I2C address strap to GND,0 Ohm,jumper,50V 1/16W,0402 1005,Vishay,CRCW04020000Z0ED,TBD,TOP SMT,Bosch BMI270 I2C SDO/address handling; address fixed low
R112,1,BMI270 CSB I2C mode strap to VDDIO,0 Ohm,jumper,50V 1/16W,0402 1005,Vishay,CRCW04020000Z0ED,TBD,TOP SMT,Bosch BMI270 I2C mode requires CSB high
C114,1,RV-3028 VDD bypass,100 nF,10%,16V X7R,0402 1005,Murata,GRM155R71C104KA88D,TBD,TOP SMT,Micro Crystal RV-3028-C7 VDD decoupling
R113,1,RV-3028 VBACKUP no-backup tie-down,10 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0710KL,TBD,TOP SMT,RV-3028 no-backup configuration; VBACKUP not floating
R114,1,RV-3028 EVI unused tie-down,10 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0710KL,TBD,TOP SMT,RV-3028 EVI unused handling; not floating
R115,1,RV-3028 INT open-drain pull-up,10 kOhm,1%,50V 1/16W,0402 1005,Yageo,RC0402FR-0710KL,TBD,TOP SMT,RTC_INT to ESP32 GPIO1; open-drain pull-up
"CXT1,CXT2",2,ESP32 40MHz crystal load capacitors,15 pF,5%,50V C0G/NP0,0402 1005,Murata,GRM1555C1H150JA01D,TBD,TOP SMT,Locked 40MHz crystal network; exact passive closure
LXT1,1,ESP32 XTAL_P series inductor,24 nH,5%,0402 RF inductor,0402 1005,Murata,LQG15HN24NJ02D,TBD,TOP SMT,Locked 40MHz crystal network; exact passive closure
