Ref,Qty,Function,Manufacturer,MPN/Value,JLC/LCSC,Package,Assembly,Note
U1,1,MCU,Espressif,ESP32-S3FH4R2,C3013940,QFN56 7x7,TOP SMT,Exact
Y1,1,40MHz crystal,HD,7D040000I01,C648973,SMD2016-4P,TOP SMT,CL10pF +/-10ppm
"CXT1,CXT2",2,XTAL load,-,15pF C0G/NP0 +/-5%,TBD passive,0402,TOP SMT,Locked
LXT1,1,XTAL series,-,24nH,TBD passive,0402,TOP SMT,XTAL_P
U2,1,LoRa,Semtech,SX1268IMLTRT,,QFN,TOP SMT,E512
U3,1,RF switch,pSemi,PE4259-63,C470892,SC-70-6,TOP SMT,E512
U4,1,IMU,Bosch Sensortec,BMI270,C2836813,LGA14 2.5x3,TOP SMT,Standard/X-ray
U5,1,RTC,Micro Crystal,RV-3028-C7-32.768KHZ-1PPM-TA-QA,C3304278,SMD3215-8P,TOP SMT,Exact
U6,1,USB ESD,TI,TPD2EUSB30DRTR,,DRT,TOP SMT,Exact MPN
J1,1,USB-C,GCT,USB4105-GF-A,C3020560,SMD right angle,TOP SMT,No -060/-120
J2,1,FPC,Hirose,FH34D-10S-0.5SH(50),,10P 0.5mm,TOP SMT,Exact
J3,1,SMA,Johnson/Semtech ref,142-0701-841,,Edge launch,TOP,Preserve E512
GNSS1,1,GNSS carrier,u-blox carrier,MAX-M10S-00B-01 carrier,USER,13.1x15.7 / 5P2.54,DNP,DO NOT ASSEMBLE
"SW1,SW2",2,BOOT/RESET,Omron,B3U-1000P,,SMD,TOP SMT,Exact
RF_R3,1,RF,Vishay,CRCW0402100RFKED,,0402,TOP SMT,100R E512
RF_R4,1,RF,Vishay,CRCW0402100RFKED,,0402,TOP SMT,100R E512
"RF_C14,C15",2,RF,Murata,GRM155R72A102KA01D,,0402,TOP SMT,1nF E512
RF_C1,1,RF,Murata,GRM155R71C473KA01D,,0402,TOP SMT,47nF E512
RF_C2,1,RF,Murata,GCM1555C1H820JA16D,,0402,TOP SMT,82pF E512
RF_C3,1,RF,Vishay,CRCW04020000Z0ED,,0402,TOP SMT,0R E512
RF_C4,1,RF,Murata,GJM1555C1H3R6CB01D,,0402,TOP SMT,3.6pF E512
RF_C5,1,RF,Murata,GJM1555C1H120JB01D,,0402,TOP SMT,12pF E512
RF_C6,1,RF,Murata,GCM1555C1H101JA16D,,0402,TOP SMT,100pF E512
RF_C7,1,RF,Murata,GJM1555C1H1R0BB01D,,0402,TOP SMT,1.0pF E512
RF_C8,1,RF,Murata,GCM1555C1H101JA16D,,0402,TOP SMT,100pF E512
RF_C11,1,RF,Murata,GJM1555C1H4R7CB01D,,0402,TOP SMT,4.7pF E512
RF_C12,1,RF,Murata,GJM1555C1H3R9CB01D,,0402,TOP SMT,3.9pF E512
RF_C16,1,RF,Murata,GRM155R61C105KA12D,,0402,TOP SMT,1uF E512
RF_C17,1,RF,Murata,GRM155R71A474KE01D,,0402,TOP SMT,470nF E512
RF_C18,1,RF,Murata,GRM155R71H104KE14D,,0402,TOP SMT,100nF E512
RF_C47,1,RF,Murata,GJM1555C1H8R2CB01D,,0402,TOP SMT,8.2pF E512
RF_L1,1,RF,Murata,LQG15HS56NJ02D,,0402,TOP SMT,56nH E512
RF_L3,1,RF,Murata,LQG15HS8N2J02D,,0402,TOP SMT,8.2nH E512
RF_L4,1,RF,Murata,LQG15HN18NJ02D,,0402,TOP SMT,18nH E512
RF_L5,1,RF,Vishay,CRCW04020000Z0ED,,0402,TOP SMT,0R E512
RF_L6,1,RF,Murata,LQW15AN33NH00D,,0402,TOP SMT,33nH E512
RF_L7,1,RF DC-DC,TDK,MLZ2012M150W,,0805,TOP SMT,15uH E512
RF_Q1,1,Radio crystal,NDK,EXS00A-CS06465,,NX2016SA,TOP SMT,32MHz +/-10ppm CL10pF
"RF_C9,C10",2,RF tuning,-,DNP,,0402,DNP,Preserve pads
"RF_C13,C25",2,RF XTAL tune,-,DNP,,0402,DNP,Preserve pads
