GPIO/Pin,Net,Direction,Locked connection
CHIP_PU,LR01_EN,IN,10k pull-up + 1uF to GND + RESET + FPC6
GPIO0,BOOT,IN,10k pull-up + BOOT to GND
GPIO1,RTC_INT,IN,RV-3028 INT
GPIO2,USB_VBUS_SENSE,IN,100k/100k divider
GPIO4,I2C_SDA,BIDIR,BMI270 + RV3028; 4.7k pull-up
GPIO5,I2C_SCL,OUT,BMI270 + RV3028; 4.7k pull-up
GPIO6,BMI_INT1,IN,BMI270 INT1
GPIO7,ANT_SW,OUT,PE4259 pin6 complementary control input via R4
GPIO8,RADIO_NSS,OUT,SX1268 NSS
GPIO9,RADIO_SCK,OUT,SX1268 SCK
GPIO10,RADIO_MOSI,OUT,SX1268 MOSI
GPIO11,RADIO_MISO,IN,SX1268 MISO
GPIO12,RADIO_RESET,OUT,SX1268 NRESET
GPIO13,RADIO_BUSY,IN,SX1268 BUSY
GPIO14,RADIO_DIO1,IN,SX1268 DIO1
GPIO15,GNSS_RX,IN,MAX-M10S TX
GPIO16,GNSS_TX,OUT,MAX-M10S RX
GPIO17,HOST_TX,OUT,LR01 -> FT-02
GPIO18,HOST_RX,IN,FT-02 -> LR01
GPIO19,USB_D-,BIDIR,USB D-
GPIO20,USB_D+,BIDIR,USB D+
GPIO21,HOST_WAKE,OUT,Wake/IRQ -> FT-02
GPIO47,GNSS_PPS,IN,MAX-M10S PPS
