Connector,Format,Pin,Signal,ESP32 GPIO,Note
J_EPD,1x9 2.54mm,1,3V3_SYS,,电子纸电源
J_EPD,1x9 2.54mm,2,GND,,
J_EPD,1x9 2.54mm,3,EPD_MOSI,GPIO11,
J_EPD,1x9 2.54mm,4,EPD_SCK,GPIO12,
J_EPD,1x9 2.54mm,5,EPD_CS,GPIO10,
J_EPD,1x9 2.54mm,6,EPD_DC,GPIO9,
J_EPD,1x9 2.54mm,7,EPD_RST,GPIO8,
J_EPD,1x9 2.54mm,8,EPD_BUSY,GPIO3,
J_EPD,1x9 2.54mm,9,EPD_PWR,GPIO18,
J_GNSS,1x5 2.54mm,1,VCC_GNSS,,默认 3.3V，可焊盘选择 5V
J_GNSS,1x5 2.54mm,2,GND,,
J_GNSS,1x5 2.54mm,3,GNSS_RX,GPIO39,模块 TX → 主控 RX
J_GNSS,1x5 2.54mm,4,GNSS_TX,GPIO38,主控 TX → 模块 RX
J_GNSS,1x5 2.54mm,5,GNSS_PPS,GPIO14,可不接
J_LORA,1x6 2.54mm,1,VCC_LORA,,3.3V/5V 焊盘二选一
J_LORA,1x6 2.54mm,2,GND,,
J_LORA,1x6 2.54mm,3,LORA_RX,GPIO4,LoRa TX → 主控 RX
J_LORA,1x6 2.54mm,4,LORA_TX,GPIO5,主控 TX → LoRa RX
J_LORA,1x6 2.54mm,5,LORA_RST,GPIO7,可选
J_LORA,1x6 2.54mm,6,LORA_AUX,GPIO6,可选
J_KB,1x4 2.54mm,1,3V3_SYS,,
J_KB,1x4 2.54mm,2,GND,,
J_KB,1x4 2.54mm,3,KB_SDA,GPIO47,4.7k 上拉
J_KB,1x4 2.54mm,4,KB_SCL,GPIO21,4.7k 上拉
