Net,Description
GND,系统地
5V_SYS,USB-C / 外部 5V 受保护输入
3V3_SYS,TPS62132 固定 3.3V 主电源
USB_DN,GPIO19 原生 USB D-
USB_DP,GPIO20 原生 USB D+
EN,ESP32-S3 复位
IO0,下载模式
SD_MISO,GPIO1
SD_MOSI,GPIO2
SD_CS,GPIO41
SD_SCK,GPIO42
EPD_BUSY,GPIO3
EPD_RST,GPIO8
EPD_DC,GPIO9
EPD_CS,GPIO10
EPD_MOSI,GPIO11
EPD_SCK,GPIO12
EPD_PWR,GPIO18
GNSS_RX,GPIO39，接模块 TX
GNSS_TX,GPIO38，接模块 RX
GNSS_PPS,GPIO14，可选
KB_SDA,GPIO47
KB_SCL,GPIO21
LORA_RX,GPIO4，接子板 TX
LORA_TX,GPIO5，接子板 RX
LORA_AUX,GPIO6，可选
LORA_RST,GPIO7，可选
GPIO13_EXT,扩展测试点
GPIO15_EXT,扩展测试点
GPIO16_EXT,扩展测试点
GPIO17_EXT,扩展测试点
